Sleep           SingleIteration          2-Iterations 3/4-Iterations     5/6-Iterations         7/8-Iteartions   9/10-Iterations  11/12-Iterations
0                 9984                      16             0                 0                     0            0                  0
50                9880                      38             35               41                      0            0                  0
100               9666                     118            102               91         		   23		0		   0
300               9110    		    444            195		    145                   105            0                  0
500               8262			    783            360		    304                   173            86		   0
700	          7256                     1225            795              591			  265           166		   0
900               4840                     2127           1314              720           	   510     	318                161      
1100     	  4796                     2137           1330              728	                   513          322                165	 
1300		  4787			   2142           1326             733                    512          323                169
1500	          4784                     2140           1327              729                    515          320                168
